Xếp hạng,Tên bài hát,Nghệ sĩ,Lượt nghe riêng,Tổng lượt plays,Link
1,Ai Ngoài Anh,vstra,1096,0,https://www.last.fm/music/vstra/_/Ai+Ngo%C3%A0i+Anh
2,In Love,Low G,1013,0,https://www.last.fm/music/Low+G/_/In+Love
3,chẳng phải tình đầu sao đau đến thế,Min,916,0,https://www.last.fm/music/Min/_/ch%E1%BA%B3ng+ph%E1%BA%A3i+t%C3%ACnh+%C4%91%E1%BA%A7u+sao+%C4%91au+%C4%91%E1%BA%BFn+th%E1%BA%BF
4,ANH LÀ THẰNG TỒI,Phùng Khánh Linh,810,0,https://www.last.fm/music/Ph%C3%B9ng+Kh%C3%A1nh+Linh/_/ANH+L%C3%80+TH%E1%BA%B0NG+T%E1%BB%92I
5,Không Buông,Hngle,787,0,https://www.last.fm/music/Hngle/_/Kh%C3%B4ng+Bu%C3%B4ng
6,Stateside + Zara Larsson,PinkPantheress,783,0,https://www.last.fm/music/PinkPantheress/_/Stateside+%252B+Zara+Larsson
7,Champion,BLACKPINK,764,0,https://www.last.fm/music/BLACKPINK/_/Champion
8,Exit Sign,HIEUTHUHAI,758,0,https://www.last.fm/music/HIEUTHUHAI/_/Exit+Sign
9,GO,BLACKPINK,752,0,https://www.last.fm/music/BLACKPINK/_/GO
10,ƯỚC ANH TAN NÁT CON TIM,Phùng Khánh Linh,745,0,https://www.last.fm/music/Ph%C3%B9ng+Kh%C3%A1nh+Linh/_/%C6%AF%E1%BB%9AC+ANH+TAN+N%C3%81T+CON+TIM
11,Me and my,BLACKPINK,744,0,https://www.last.fm/music/BLACKPINK/_/Me+and+my
12,NGƯỜI ĐẦU TIÊN,Juky San,741,0,https://www.last.fm/music/Juky+San/_/NG%C6%AF%E1%BB%9CI+%C4%90%E1%BA%A6U+TI%C3%8AN
13,EM ĐAU,Phùng Khánh Linh,736,0,https://www.last.fm/music/Ph%C3%B9ng+Kh%C3%A1nh+Linh/_/EM+%C4%90AU
14,Không Thời Gian,Dương Domic,706,0,https://www.last.fm/music/D%C6%B0%C6%A1ng+Domic/_/Kh%C3%B4ng+Th%E1%BB%9Di+Gian
